ANNIE Lat,ANNIE Long,LEAH Lat,LEAH Long,MELANY Lat,MELANY Long,MONIQUE Lat,MONIQUE Long,prOphecy Lat,prOphecy Long
49.27914,-123.09987,49.27865,-123.10089,49.27906,-123.09984,49.27774,-123.10005,49.27858,-123.09789
49.27915,-123.09986,49.27865,-123.1009,49.27907,-123.09984,49.27774,-123.10005,49.27858,-123.09787
49.27916,-123.09986,49.27865,-123.10092,49.27909,-123.09984,49.27775,-123.10006,49.27858,-123.09786
49.27916,-123.09986,49.27865,-123.10093,49.27911,-123.09984,49.27773,-123.10008,49.27858,-123.09783
49.27918,-123.09986,49.27865,-123.10095,49.27912,-123.09984,49.27772,-123.10008,49.27858,-123.09782
49.27919,-123.09985,49.27865,-123.10097,49.27913,-123.09985,49.27771,-123.10009,49.27858,-123.09781
49.27921,-123.09984,49.27865,-123.10098,49.27916,-123.09985,49.27771,-123.1001,49.27858,-123.09778
49.27921,-123.09983,49.27865,-123.101,49.27919,-123.09983,49.2777,-123.1001,49.27859,-123.09776
49.27922,-123.09983,49.27865,-123.10101,49.27921,-123.09984,49.27769,-123.1001,49.27859,-123.09774
49.27923,-123.09984,49.27865,-123.10102,49.27923,-123.09984,49.27768,-123.10011,49.27858,-123.09772
49.27925,-123.09983,49.27865,-123.10105,49.27925,-123.09985,49.27768,-123.10012,49.27859,-123.0977
49.27925,-123.09983,49.27864,-123.10107,49.27925,-123.09984,49.27768,-123.10015,49.27858,-123.09768
49.27926,-123.09983,49.27864,-123.1011,49.27927,-123.09984,49.27768,-123.10017,49.27858,-123.09766
49.27928,-123.09983,49.27864,-123.10111,49.27928,-123.09983,49.27768,-123.10018,49.27858,-123.09764
49.27929,-123.09983,49.27865,-123.10113,49.27928,-123.09982,49.27768,-123.10019,49.27858,-123.09762
49.2793,-123.09981,49.27865,-123.10115,49.2793,-123.09983,49.27768,-123.10021,49.27857,-123.09761
49.27931,-123.09981,49.27866,-123.10118,49.2793,-123.09982,49.27768,-123.10023,49.27857,-123.0976
49.27932,-123.09981,49.27866,-123.10121,49.27931,-123.09981,49.27768,-123.10024,49.27857,-123.09758
49.27934,-123.09981,49.27867,-123.10123,49.27932,-123.09983,49.27767,-123.10027,49.27857,-123.09757
49.27935,-123.09981,49.27867,-123.10125,49.27933,-123.09983,49.27766,-123.10029,49.27857,-123.09755
49.27936,-123.09984,49.27867,-123.10127,49.27934,-123.09983,49.27765,-123.1003,49.27856,-123.09754
49.27937,-123.09986,49.27866,-123.10129,49.27936,-123.09983,49.27765,-123.10032,49.27856,-123.09752
49.27938,-123.09987,49.27866,-123.1013,49.27938,-123.09983,49.27765,-123.10034,49.27855,-123.09751
49.2794,-123.09986,49.27866,-123.10131,49.27939,-123.09982,49.27765,-123.10036,49.27855,-123.0975
49.2794,-123.09987,49.27866,-123.10133,49.2794,-123.09982,49.27765,-123.10038,49.27855,-123.09748
49.27941,-123.09987,49.27867,-123.10133,49.2794,-123.09982,49.27765,-123.10039,49.27854,-123.09746
49.27942,-123.09987,49.27867,-123.10133,49.27942,-123.09987,49.27765,-123.1004,49.27854,-123.09745
49.27944,-123.09987,49.27867,-123.10132,49.27943,-123.09987,49.27764,-123.10044,49.27854,-123.09743
49.27945,-123.09988,49.27867,-123.10132,49.27944,-123.09988,49.27764,-123.10045,49.27854,-123.0974
49.27946,-123.09988,49.27867,-123.10131,49.27946,-123.09988,49.27764,-123.10047,49.27854,-123.09739
49.27947,-123.09989,49.27867,-123.1013,49.27947,-123.09989,49.27763,-123.10049,49.27854,-123.09736
49.27948,-123.09989,49.27866,-123.1013,49.27948,-123.09989,49.27763,-123.10053,49.27854,-123.09735
49.27949,-123.09989,49.27865,-123.10129,49.27949,-123.09989,49.27763,-123.10055,49.27854,-123.09733
49.2795,-123.09989,49.27865,-123.10128,49.2795,-123.09989,49.27762,-123.10058,49.27854,-123.09731
49.27951,-123.09988,49.27864,-123.10128,49.27951,-123.09989,49.27762,-123.1006,49.27854,-123.0973
49.27952,-123.09987,49.27863,-123.10129,49.27953,-123.09989,49.27763,-123.10063,49.27854,-123.09728
49.27953,-123.09986,49.27863,-123.10129,49.27955,-123.09988,49.27763,-123.10066,49.27853,-123.09726
49.27954,-123.09985,49.27863,-123.10129,49.27957,-123.09988,49.27763,-123.10068,49.27854,-123.09724
49.27955,-123.09984,49.27863,-123.10129,49.27959,-123.09987,49.27763,-123.1007,49.27853,-123.09723
49.27957,-123.09984,49.27862,-123.1013,49.2796,-123.09986,49.27763,-123.10072,49.27853,-123.09722
49.27959,-123.09983,49.27862,-123.10131,49.27962,-123.09986,49.27763,-123.10074,49.27853,-123.09721
49.2796,-123.09982,49.27862,-123.10132,49.27962,-123.09985,49.27763,-123.10075,49.27854,-123.09721
49.27961,-123.09982,49.27863,-123.10134,49.27964,-123.09986,49.27763,-123.10078,49.27854,-123.09721
49.27962,-123.09983,49.27863,-123.10136,49.27966,-123.09986,49.27763,-123.1008,49.27854,-123.09721
49.27963,-123.09982,49.27864,-123.10138,49.27967,-123.09987,49.27763,-123.10083,49.27854,-123.09721
49.27964,-123.09983,49.27865,-123.1014,49.27968,-123.09986,49.27763,-123.10086,49.27854,-123.0972
49.27966,-123.09982,49.27866,-123.10142,49.2797,-123.09987,49.27762,-123.10087,49.27855,-123.09718
49.27966,-123.09982,49.27867,-123.10145,49.27971,-123.09987,49.27762,-123.10089,49.27854,-123.09715
49.27968,-123.09982,49.27868,-123.10147,49.27972,-123.09988,49.27762,-123.10091,49.27856,-123.09712
49.2797,-123.09982,49.27869,-123.10149,49.27974,-123.09988,49.27762,-123.10093,49.27855,-123.09711
49.2797,-123.09983,49.27869,-123.10152,49.27976,-123.09987,49.27762,-123.10095,49.27855,-123.0971
49.27972,-123.09984,49.27869,-123.10154,49.27977,-123.09987,49.27762,-123.10096,49.27855,-123.09708
49.27973,-123.09983,49.27869,-123.10155,49.27979,-123.09987,49.27762,-123.10098,49.27855,-123.09705
49.27975,-123.09983,49.27869,-123.10156,49.2798,-123.09986,49.27763,-123.101,49.27856,-123.09703
49.27976,-123.09983,49.27869,-123.10156,49.27981,-123.09986,49.27764,-123.10102,49.27857,-123.09701
49.27979,-123.09983,49.27869,-123.10157,49.27983,-123.09985,49.27764,-123.10105,49.27858,-123.09699
49.27981,-123.09983,49.2787,-123.10159,49.27984,-123.09986,49.27764,-123.10108,49.2786,-123.09697
49.27982,-123.09983,49.27871,-123.10161,49.27986,-123.09984,49.27764,-123.10111,49.27861,-123.09695
49.27983,-123.09984,49.27871,-123.10163,49.27988,-123.09983,49.27764,-123.10112,49.27862,-123.09694
49.27985,-123.09983,49.27871,-123.10165,49.2799,-123.09983,49.27764,-123.10114,49.27863,-123.09691
49.27986,-123.09983,49.27871,-123.10167,49.27991,-123.09982,49.27764,-123.10117,49.27864,-123.0969
49.27987,-123.09983,49.27871,-123.10169,49.27992,-123.09984,49.27763,-123.10119,49.27865,-123.09689
49.27988,-123.09983,49.2787,-123.10171,49.27993,-123.09985,49.27763,-123.10122,49.27865,-123.09687
49.2799,-123.09983,49.2787,-123.10173,49.27995,-123.09986,49.27763,-123.10124,49.27866,-123.09686
49.27991,-123.09983,49.2787,-123.10175,49.27996,-123.09986,49.27763,-123.10126,49.27867,-123.09685
49.27994,-123.09983,49.2787,-123.10177,49.27996,-123.09985,49.27762,-123.10128,49.27868,-123.09684
49.27996,-123.09984,49.2787,-123.1018,49.27996,-123.09984,49.27763,-123.10131,49.27869,-123.09682
49.27998,-123.09983,49.27869,-123.10183,49.27998,-123.09984,49.27763,-123.10134,49.2787,-123.09682
49.27999,-123.09984,49.27869,-123.10185,49.27999,-123.09983,49.27763,-123.10135,49.27871,-123.09681
49.28,-123.09985,49.27868,-123.10188,49.28001,-123.09981,49.27762,-123.10137,49.27872,-123.0968
49.28001,-123.09985,49.27868,-123.1019,49.28003,-123.09981,49.27762,-123.10139,49.27873,-123.09679
49.28,-123.09984,49.27867,-123.10193,49.28004,-123.09982,49.27762,-123.1014,49.27873,-123.09679
49.28002,-123.09985,49.27866,-123.10195,49.28006,-123.09982,49.27762,-123.10142,49.27875,-123.09679
49.28004,-123.09985,49.27866,-123.10196,49.28007,-123.09983,49.27762,-123.10144,49.27876,-123.09678
49.28006,-123.09985,49.27864,-123.10198,49.28009,-123.09982,49.27762,-123.10147,49.27876,-123.09678
49.28008,-123.09985,49.27863,-123.10199,49.28011,-123.09982,49.27762,-123.1015,49.27877,-123.09677
49.28009,-123.09985,49.27862,-123.10201,49.28013,-123.09982,49.27761,-123.10152,49.27878,-123.09677
49.28011,-123.09984,49.27861,-123.10202,49.28012,-123.09983,49.27761,-123.10154,49.27879,-123.09677
49.28014,-123.09986,49.2786,-123.10203,49.28013,-123.09983,49.27761,-123.10157,49.2788,-123.09676
49.28015,-123.09987,49.2786,-123.10204,49.28014,-123.09984,49.27761,-123.10159,49.27881,-123.09676
49.28016,-123.09986,49.27859,-123.10206,49.28016,-123.09985,49.27761,-123.10161,49.27882,-123.09676
49.28018,-123.09986,49.27859,-123.10207,49.28017,-123.09986,49.2776,-123.10162,49.27883,-123.09676
49.28019,-123.09986,49.27858,-123.10208,49.28018,-123.09986,49.27761,-123.10164,49.27884,-123.09676
49.28021,-123.09985,49.27858,-123.10211,49.28019,-123.09986,49.27761,-123.10165,49.27886,-123.09675
49.28022,-123.09984,49.27858,-123.10213,49.2802,-123.09983,49.27761,-123.10166,49.27887,-123.09675
49.28023,-123.09984,49.27858,-123.10216,49.28022,-123.09984,49.2776,-123.10168,49.27888,-123.09675
49.28024,-123.09983,49.27858,-123.10218,49.28023,-123.09984,49.2776,-123.10169,49.27889,-123.09674
49.28025,-123.09983,49.27857,-123.1022,49.28024,-123.09983,49.27759,-123.10171,49.2789,-123.09674
